original_name,artist_guess,title_guess,assigned_genre,confidence,new_path,reasons
I Just Want To Dance With You [Z6SF_t22KTI].webm,Unknown,i just want to dance with you,unsorted,0.0,musicup/unsorted/I Just Want To Dance With You [Z6SF_t22KTI].webm,no strong match
"I Like It, I Love It [aAZVtj_JsCY].webm",Unknown,"i like it, i love it",unsorted,0.0,"musicup/unsorted/I Like It, I Love It [aAZVtj_JsCY].webm",no strong match
I Still Haven't Found What I'm Looking For [neG5xgZbHOg].webm,Unknown,i still haven't found what i'm looking for,unsorted,0.0,musicup/unsorted/I Still Haven't Found What I'm Looking For [neG5xgZbHOg].webm,no strong match
I Will Wait [DWD7CNFlsOc].webm,Unknown,i will wait,unsorted,0.0,musicup/unsorted/I Will Wait [DWD7CNFlsOc].webm,no strong match
I'm Gonna Be Somebody [yE8c7CEwdOE].webm,Unknown,i'm gonna be somebody,unsorted,0.0,musicup/unsorted/I'm Gonna Be Somebody [yE8c7CEwdOE].webm,no strong match
I'm in a Hurry (And Don't Know Why) [15gT9HByEN4].webm,Unknown,i'm in a hurry (and don't know why),unsorted,0.0,musicup/unsorted/I'm in a Hurry (And Don't Know Why) [15gT9HByEN4].webm,no strong match
If Tomorrow Never Comes [CEiAZmRyc60].webm,Unknown,if tomorrow never comes,unsorted,0.0,musicup/unsorted/If Tomorrow Never Comes [CEiAZmRyc60].webm,no strong match
If You're Gonna Play In Texas [w6r4E514nJg].webm,Unknown,if you're gonna play in texas,unsorted,0.0,musicup/unsorted/If You're Gonna Play In Texas [w6r4E514nJg].webm,no strong match
If You're Reading This [H-XO1KOXjoo].webm,Unknown,if you're reading this,unsorted,0.0,musicup/unsorted/If You're Reading This [H-XO1KOXjoo].webm,no strong match
Imagine Dragons - Demons (Lyric Video) [pvrkfb1C4tE].webm,imagine dragons,demons,alternative,13,musicup/alternative/Imagine Dragons - Demons (Lyric Video) [pvrkfb1C4tE].webm,artist:imagine dragons->alternative | kw:demons+3->alternative
Imagine Dragons - Radioactive (Lyric Video) [w3viBe2Q0P8].webm,imagine dragons,radioactive,alternative,13,musicup/alternative/Imagine Dragons - Radioactive (Lyric Video) [w3viBe2Q0P8].webm,artist:imagine dragons->alternative | kw:radioactive+3->alternative
In the End [gB9P0kpc1O4].webm,Unknown,in the end,unsorted,0.0,musicup/unsorted/In the End [gB9P0kpc1O4].webm,no strong match
Independence Day [Gy4Asoj4o08].webm,Unknown,independence day,unsorted,0.0,musicup/unsorted/Independence Day [Gy4Asoj4o08].webm,no strong match
Indian Outlaw [iKHbAP45X2U].webm,Unknown,indian outlaw,unsorted,0.0,musicup/unsorted/Indian Outlaw [iKHbAP45X2U].webm,no strong match
It's A Little Too Late (1996 Greatest Hits Version) [JD5w6PYr_lM].webm,Unknown,it's a little too late (1996 greatest hits version),unsorted,0.0,musicup/unsorted/It's A Little Too Late (1996 Greatest Hits Version) [JD5w6PYr_lM].webm,no strong match
Iyaz - Replay ｜ Lyrics [GqYj_f9gVqM].webm,iyaz,replay | lyrics,hiphop,9.0,musicup/hiphop/Iyaz - Replay ｜ Lyrics [GqYj_f9gVqM].webm,artist:iyaz->hiphop | kw:lyrics+1->pop
Jamey Johnson - In Color (Official Video) [EYGwxf1gCC4].webm,jamey johnson,in color,unsorted,0.0,musicup/unsorted/Jamey Johnson - In Color (Official Video) [EYGwxf1gCC4].webm,no strong match
Jason Aldean - You're The Love I Wanna Be In (Official Audio) [f2s6iSirZgM].webm,jason aldean,you're the love i wanna be in,country,10,musicup/country/Jason Aldean - You're The Love I Wanna Be In (Official Audio) [f2s6iSirZgM].webm,artist:jason aldean->country
Jo Dee Messina - Bye Bye (Official Music Video) [iVoKkdVNSvo].webm,jo dee messina,bye bye,unsorted,0.0,musicup/unsorted/Jo Dee Messina - Bye Bye (Official Music Video) [iVoKkdVNSvo].webm,no strong match
Joe Diffie - Home [L6y7Aa9aSkM].webm,joe diffie,home,unsorted,0.0,musicup/unsorted/Joe Diffie - Home [L6y7Aa9aSkM].webm,no strong match
Joe Diffie - Pickup Man (Official Music Video) [9I51JXpcLwk].webm,joe diffie,pickup man,unsorted,0.0,musicup/unsorted/Joe Diffie - Pickup Man (Official Music Video) [9I51JXpcLwk].webm,no strong match
Joe Nichols - Tequila Makes Her Clothes Fall Off (Closed Captioned) [Nj2700em-JQ].webm,joe nichols,tequila makes her clothes fall off (closed captioned),unsorted,0.0,musicup/unsorted/Joe Nichols - Tequila Makes Her Clothes Fall Off (Closed Captioned) [Nj2700em-JQ].webm,no strong match
John Anderson - Straight Tequila Night (Official Video) [Y1AYz95sc9g].webm,john anderson,straight tequila night,unsorted,0.0,musicup/unsorted/John Anderson - Straight Tequila Night (Official Video) [Y1AYz95sc9g].webm,no strong match
John Deere Green [ObMtunAA7uo].webm,Unknown,john deere green,unsorted,0.0,musicup/unsorted/John Deere Green [ObMtunAA7uo].webm,no strong match
"John Denver - Take Me Home, Country Roads (Official Audio) [1vrEljMfXYo].webm",john denver,"take me home, country roads",country,16,"musicup/country/John Denver - Take Me Home, Country Roads (Official Audio) [1vrEljMfXYo].webm",artist:country roads->country | kw:country+6->country
John Michael Montgomery - Sold (The Grundy County Auction Incident) (Official Music Video) [U_VbwZsYPwY].webm,john michael montgomery,sold (the grundy county auction incident),unsorted,0.0,musicup/unsorted/John Michael Montgomery - Sold (The Grundy County Auction Incident) (Official Music Video) [U_VbwZsYPwY].webm,no strong match
Jon Pardi - Head Over Boots (Official Lyric Video) [7K0akU-Rdv8].webm,jon pardi,head over boots,unsorted,2,musicup/unsorted/Jon Pardi - Head Over Boots (Official Lyric Video) [7K0akU-Rdv8].webm,kw:boots+2->country
Jon Pardi - Heartache Medication (Official Audio) [drVWB05Ang8].webm,jon pardi,heartache medication,unsorted,0.0,musicup/unsorted/Jon Pardi - Heartache Medication (Official Audio) [drVWB05Ang8].webm,no strong match
Just To See You Smile [V7TolEcnKbs].webm,Unknown,just to see you smile,unsorted,0.0,musicup/unsorted/Just To See You Smile [V7TolEcnKbs].webm,no strong match
KALEO - Way Down We Go (Lyrics) [FjW-kpERj8s].webm,kaleo,way down we go,alternative,10,musicup/alternative/KALEO - Way Down We Go (Lyrics) [FjW-kpERj8s].webm,artist:kaleo->alternative
Katy Perry - Last Friday Night (T.G.I.F) [Lyrics] [cEin6Kix6xs].webm,katy perry,last friday night (t.g.i.f),pop,10,musicup/pop/Katy Perry - Last Friday Night (T.G.I.F) [Lyrics] [cEin6Kix6xs].webm,artist:katy perry->pop
Keith Whitley - When You Say Nothing at All (Official Video) [xNU7iIdw7Ss].webm,keith whitley,when you say nothing at all,unsorted,0.0,musicup/unsorted/Keith Whitley - When You Say Nothing at All (Official Video) [xNU7iIdw7Ss].webm,no strong match
Kenny Chesney - Anything But Mine (Official Video) [V6c8a90PWIM].webm,kenny chesney,anything but mine,country,10,musicup/country/Kenny Chesney - Anything But Mine (Official Video) [V6c8a90PWIM].webm,artist:kenny chesney->country
Kenny Chesney - Don't Happen Twice (Official Video) [ueQgSEN2m9I].webm,kenny chesney,don't happen twice,country,10,musicup/country/Kenny Chesney - Don't Happen Twice (Official Video) [ueQgSEN2m9I].webm,artist:kenny chesney->country
Kenny Chesney - How Forever Feels (Official Video) [iMeUY6pZ9aE].webm,kenny chesney,how forever feels,country,10,musicup/country/Kenny Chesney - How Forever Feels (Official Video) [iMeUY6pZ9aE].webm,artist:kenny chesney->country
Kenny Chesney - I Go Back (Official Video) [MdeSLxz5TTE].webm,kenny chesney,i go back,country,10,musicup/country/Kenny Chesney - I Go Back (Official Video) [MdeSLxz5TTE].webm,artist:kenny chesney->country
Kenny Chesney - Me And You (Official Video) [riuXdXAOArY].webm,kenny chesney,me and you,country,10,musicup/country/Kenny Chesney - Me And You (Official Video) [riuXdXAOArY].webm,artist:kenny chesney->country
Kenny Chesney - She Thinks My Tractor's Sexy (Official Video) [uWu4aynBK7E].webm,kenny chesney,she thinks my tractor's sexy,country,10,musicup/country/Kenny Chesney - She Thinks My Tractor's Sexy (Official Video) [uWu4aynBK7E].webm,artist:kenny chesney->country
Kenny Chesney - She's Got It All (Official Video) [vBq0HPOGdvQ].webm,kenny chesney,she's got it all,country,10,musicup/country/Kenny Chesney - She's Got It All (Official Video) [vBq0HPOGdvQ].webm,artist:kenny chesney->country
Kenny Chesney - The Good Stuff (Official Video) [lYQZJ9NUzYU].webm,kenny chesney,the good stuff,country,10,musicup/country/Kenny Chesney - The Good Stuff (Official Video) [lYQZJ9NUzYU].webm,artist:kenny chesney->country
Killin' Time [0tmjc-d6nB8].webm,Unknown,killin' time,unsorted,0.0,musicup/unsorted/Killin' Time [0tmjc-d6nB8].webm,no strong match
Kings of Leon - Use Somebody(HQ) [dfboIlgQiQQ].webm,kings of leon,use somebody,rock,14,musicup/rock/Kings of Leon - Use Somebody(HQ) [dfboIlgQiQQ].webm,artist:kings of leon->rock | kw:use somebody+4->rock
Kiss This [HXSYAPmm7cg].webm,Unknown,kiss this,unsorted,0.0,musicup/unsorted/Kiss This [HXSYAPmm7cg].webm,no strong match
Lewis Capaldi - Bruises (Official Audio) [84znrPmOePc].webm,lewis capaldi,bruises,pop,10,musicup/pop/Lewis Capaldi - Bruises (Official Audio) [84znrPmOePc].webm,artist:lewis capaldi->pop
Life's a Dance (2011 Remaster) [tobZQfbtqGE].webm,Unknown,life's a dance (2011 remaster),unsorted,0.0,musicup/unsorted/Life's a Dance (2011 Remaster) [tobZQfbtqGE].webm,no strong match
Limp Bizkit - Behind Blue Eyes (Audio) [nm_YQ1tx4Yw].webm,limp bizkit,behind blue eyes,rock,14,musicup/rock/Limp Bizkit - Behind Blue Eyes (Audio) [nm_YQ1tx4Yw].webm,artist:limp bizkit->rock | kw:behind blue eyes+4->rock
Little Rock [lWBXVKwQscQ].webm,Unknown,little rock,unsorted,0.0,musicup/unsorted/Little Rock [lWBXVKwQscQ].webm,no strong match
Livin' On Love [WngPjii_O20].webm,Unknown,livin' on love,unsorted,0.0,musicup/unsorted/Livin' On Love [WngPjii_O20].webm,no strong match
Lonesome Drinkers [zP4-enQKm6c].webm,Unknown,lonesome drinkers,unsorted,0.0,musicup/unsorted/Lonesome Drinkers [zP4-enQKm6c].webm,no strong match
Lookin' for Love [8mxIHL6d-RM].webm,Unknown,lookin' for love,unsorted,0.0,musicup/unsorted/Lookin' for Love [8mxIHL6d-RM].webm,no strong match
Lost In The Fifties Tonight (In The Still Of The Night) [Lug241HECWU].webm,Unknown,lost in the fifties tonight (in the still of the night),unsorted,0.0,musicup/unsorted/Lost In The Fifties Tonight (In The Still Of The Night) [Lug241HECWU].webm,no strong match
"Love Without End, Amen [7177-GCCA38].webm",Unknown,"love without end, amen",unsorted,0.0,"musicup/unsorted/Love Without End, Amen [7177-GCCA38].webm",no strong match
Luke Combs - When It Rains It Pours (Lyric Video) [eXQNv_jkOQc].webm,luke combs,when it rains it pours,country,10,musicup/country/Luke Combs - When It Rains It Pours (Lyric Video) [eXQNv_jkOQc].webm,artist:luke combs->country
MACKLEMORE & RYAN LEWIS - CAN'T HOLD US FEAT. RAY DALTON (OFFICIAL MUSIC VIDEO) [2zNSgSzhBfM].webm,macklemore & ryan lewis,can't hold us feat. ray dalton,hiphop,15,musicup/hiphop/MACKLEMORE & RYAN LEWIS - CAN'T HOLD US FEAT. RAY DALTON (OFFICIAL MUSIC VIDEO) [2zNSgSzhBfM].webm,artist:macklemore->hiphop | kw:feat.+1->hiphop | kw:can't hold us+4->hiphop
Mammas Don't Let Your Babies Grow up to Be Cowboys (Official Audio) [Ufjv0SRZ-IY].webm,Unknown,mammas don't let your babies grow up to be cowboys,unsorted,2,musicup/unsorted/Mammas Don't Let Your Babies Grow up to Be Cowboys (Official Audio) [Ufjv0SRZ-IY].webm,kw:cowboy+2->country
Maroon 5 - Daylight (Audio) HD [YUSZe_UB7wc].webm,maroon 5,daylight hd,pop,12.8,musicup/pop/Maroon 5 - Daylight (Audio) HD [YUSZe_UB7wc].webm,artist:maroon 5->pop | kw:daylight+3->pop
Maroon 5 - Payphone ft. Wiz Khalifa (Lyric Video) [5FlQSQuv_mg].webm,maroon 5,payphone ft. wiz khalifa,pop,9,musicup/pop/Maroon 5 - Payphone ft. Wiz Khalifa (Lyric Video) [5FlQSQuv_mg].webm,artist:maroon 5->pop | kw:ft.+1->hiphop
Marshmello ft. Bastille - Happier (Official Lyric Video) [RE87rQkXdNw].webm,marshmello ft. bastille,happier,electronic,11,musicup/electronic/Marshmello ft. Bastille - Happier (Official Lyric Video) [RE87rQkXdNw].webm,artist:marshmello->electronic | kw:ft.+1->hiphop | kw:happier+2->electronic
Mike Posner - I Took A Pill In Ibiza (SeeB Remix) [u3VFzuUiTGw].webm,mike posner,i took a pill in ibiza (seeb remix),electronic,14,musicup/electronic/Mike Posner - I Took A Pill In Ibiza (SeeB Remix) [u3VFzuUiTGw].webm,artist:seeb->electronic | kw:remix+4->electronic
Miley Cyrus - Party In The U.S.A  (Audio) [-AJVcPpGuig].webm,miley cyrus,party in the u.s.a,pop,14,musicup/pop/Miley Cyrus - Party In The U.S.A  (Audio) [-AJVcPpGuig].webm,artist:miley cyrus->pop | kw:party in the u.s.a+4->pop
Morgan Wallen - Cover Me Up (Audio Only) [1RnChOf8RTs].webm,morgan wallen,cover me up,country,10,musicup/country/Morgan Wallen - Cover Me Up (Audio Only) [1RnChOf8RTs].webm,artist:morgan wallen->country
Morgan Wallen - Everything I Love (Audio Only) [Q8RUBHlK4-A].webm,morgan wallen,everything i love,country,10,musicup/country/Morgan Wallen - Everything I Love (Audio Only) [Q8RUBHlK4-A].webm,artist:morgan wallen->country
Morgan Wallen – Sand In My Boots (Audio Only) [ICWZfdZ5XI4].webm,morgan wallen,sand in my boots,country,12,musicup/country/Morgan Wallen – Sand In My Boots (Audio Only) [ICWZfdZ5XI4].webm,artist:morgan wallen->country | kw:boots+2->country
Mountain Music [9GGQ2zId8JA].webm,Unknown,mountain music,unsorted,0.0,musicup/unsorted/Mountain Music [9GGQ2zId8JA].webm,no strong match
Mr. Brightside HQ (The Killers) [pvIJyRkS9y0].webm,Unknown,mr. brightside hq (the killers),rock,9.8,musicup/rock/Mr. Brightside HQ (The Killers) [pvIJyRkS9y0].webm,artist:the killers->rock
Mud On the Tires [o23r5MBetyE].webm,Unknown,mud on the tires,unsorted,0.0,musicup/unsorted/Mud On the Tires [o23r5MBetyE].webm,no strong match
My Baby Loves Me [N5VYAIJ4cgc].webm,Unknown,my baby loves me,unsorted,0.0,musicup/unsorted/My Baby Loves Me [N5VYAIJ4cgc].webm,no strong match
My List - Toby Keith [EK8sfGo8YNQ].webm,my list,toby keith,unsorted,0.0,musicup/unsorted/My List - Toby Keith [EK8sfGo8YNQ].webm,no strong match
My Maria [gPoICeX33vY].webm,Unknown,my maria,unsorted,0.0,musicup/unsorted/My Maria [gPoICeX33vY].webm,no strong match
Myles Smith - Stargazing (Audio) [8Q8Y-siLzjg].webm,myles smith,stargazing,pop,10,musicup/pop/Myles Smith - Stargazing (Audio) [8Q8Y-siLzjg].webm,artist:myles smith->pop
Nelly - Just A Dream (Official Music Video) [N6O2ncUKvlg].webm,nelly,just a dream,hiphop,14,musicup/hiphop/Nelly - Just A Dream (Official Music Video) [N6O2ncUKvlg].webm,artist:nelly->hiphop | kw:just a dream+4->hiphop
Never Wanted Nothing More [5VnOSO1J22M].webm,Unknown,never wanted nothing more,unsorted,0.0,musicup/unsorted/Never Wanted Nothing More [5VnOSO1J22M].webm,no strong match
"Next To You, Next To Me [42kyMCG-Xlc].webm",Unknown,"next to you, next to me",unsorted,0.0,"musicup/unsorted/Next To You, Next To Me [42kyMCG-Xlc].webm",no strong match
Nitty Gritty Dirt Band - Fishin' In The Dark (Official Audio) [jBRfkxUAyOk].webm,nitty gritty dirt band,fishin' in the dark,unsorted,0.0,musicup/unsorted/Nitty Gritty Dirt Band - Fishin' In The Dark (Official Audio) [jBRfkxUAyOk].webm,no strong match
No One Needs To Know [qk9xX85Jhnk].webm,Unknown,no one needs to know,unsorted,0.0,musicup/unsorted/No One Needs To Know [qk9xX85Jhnk].webm,no strong match
Nothing On But The Radio [PNyEwbsYbXE].webm,Unknown,nothing on but the radio,unsorted,0.0,musicup/unsorted/Nothing On But The Radio [PNyEwbsYbXE].webm,no strong match
Ocean Front Property [g_1XvV3usfc].webm,Unknown,ocean front property,unsorted,0.0,musicup/unsorted/Ocean Front Property [g_1XvV3usfc].webm,no strong match
Of Monsters and Men - Little Talks (Official Lyric Video) [IY8rOSyR5Rw].webm,of monsters and men,little talks,alternative,13,musicup/alternative/Of Monsters and Men - Little Talks (Official Lyric Video) [IY8rOSyR5Rw].webm,artist:of monsters and men->alternative | kw:little talks+3->alternative
One More Light (Official Audio) - Linkin Park [3kaUvGSLMew].webm,one more light,linkin park,rock,10,musicup/rock/One More Light (Official Audio) - Linkin Park [3kaUvGSLMew].webm,artist:linkin park->rock
OneRepublic - Counting Stars [hT_nvWreIhg].webm,onerepublic,counting stars,pop,13,musicup/pop/OneRepublic - Counting Stars [hT_nvWreIhg].webm,artist:onerepublic->pop | kw:counting stars+3->pop
OneRepublic - I Lived (Audio) [pKt3o7WPYdo].webm,onerepublic,i lived,pop,13,musicup/pop/OneRepublic - I Lived (Audio) [pKt3o7WPYdo].webm,artist:onerepublic->pop | kw:i lived+3->pop
OneRepublic - Secrets (Official Music Video) [qHm9MG9xw1o].webm,onerepublic,secrets,pop,13,musicup/pop/OneRepublic - Secrets (Official Music Video) [qHm9MG9xw1o].webm,artist:onerepublic->pop | kw:secrets+3->pop
Owl City - Fireflies (HQ) [qSsAEZa_fb0].webm,owl city,fireflies,pop,10,musicup/pop/Owl City - Fireflies (HQ) [qSsAEZa_fb0].webm,artist:owl city->pop
Pam Tillis - Maybe It Was Memphis [egvraT1oBH0].webm,pam tillis,maybe it was memphis,unsorted,0.0,musicup/unsorted/Pam Tillis - Maybe It Was Memphis [egvraT1oBH0].webm,no strong match
Parker McCollum - Handle On You (Official Audio) [FKIlve29-_U].webm,parker mccollum,handle on you,unsorted,0.0,musicup/unsorted/Parker McCollum - Handle On You (Official Audio) [FKIlve29-_U].webm,no strong match
Patty Loveless - I Try To Think About Elvis [Hx0kPNEIY1M].webm,patty loveless,i try to think about elvis,unsorted,0.0,musicup/unsorted/Patty Loveless - I Try To Think About Elvis [Hx0kPNEIY1M].webm,no strong match
Phil Collins - In The Air Tonight - 2015 Remastered audio HD [rvUjjtZ_opk].webm,phil collins,in the air tonight - 2015 remastered audio hd,rock,14.6,musicup/rock/Phil Collins - In The Air Tonight - 2015 Remastered audio HD [rvUjjtZ_opk].webm,artist:phil collins->rock | kw:remastered+1->rock | kw:in the air tonight+4->rock
"Phillip Phillips - Gone, Gone, Gone [oozQ4yV__Vw].webm",phillip phillips,"gone, gone, gone",pop,10,"musicup/pop/Phillip Phillips - Gone, Gone, Gone [oozQ4yV__Vw].webm",artist:phillip phillips->pop
Pitbull - Feel This Moment (Official Video) ft. Christina Aguilera [5jlI4uzZGjU].webm,pitbull,feel this moment ft. christina aguilera,pop,9,musicup/pop/Pitbull - Feel This Moment (Official Video) ft. Christina Aguilera [5jlI4uzZGjU].webm,artist:pitbull->pop | kw:ft.+1->hiphop
"Pitbull - Give Me Everything ft. Ne-Yo, Afrojack, Nayer [EPo5wWmKEaI].webm",pitbull,"give me everything ft. ne-yo, afrojack, nayer",pop,9,"musicup/pop/Pitbull - Give Me Everything ft. Ne-Yo, Afrojack, Nayer [EPo5wWmKEaI].webm",artist:pitbull->pop | kw:ft.+1->hiphop
"Pitbull, Ke$ha - Timber (featuring Ke$ha - Official Audio) [zHESy8XsJPs].webm","pitbull, ke$ha",timber (featuring ke$ha - official audio),pop,10.6,"musicup/pop/Pitbull, Ke$ha - Timber (featuring Ke$ha - Official Audio) [zHESy8XsJPs].webm",artist:pitbull->pop | kw:official audio+1->pop
"Pitbull, Ne-Yo - Time Of Our Lives (Audio) [TheUtUU3miE].webm","pitbull, ne-yo",time of our lives,pop,10,"musicup/pop/Pitbull, Ne-Yo - Time Of Our Lives (Audio) [TheUtUU3miE].webm",artist:pitbull->pop
Prop Me Up Beside the Jukebox (If I Die) [w3jJFaR-ckU].webm,Unknown,prop me up beside the jukebox (if i die),unsorted,0.0,musicup/unsorted/Prop Me Up Beside the Jukebox (If I Die) [w3jJFaR-ckU].webm,no strong match
Randy Travis - 1982 (2021 Remaster) [EpPm-I6S_4Y].webm,randy travis,1982 (2021 remaster),unsorted,0.0,musicup/unsorted/Randy Travis - 1982 (2021 Remaster) [EpPm-I6S_4Y].webm,no strong match
Randy Travis - Diggin' Up Bones (Official Audio) [6JVIUaqC0gM].webm,randy travis,diggin' up bones,unsorted,0.0,musicup/unsorted/Randy Travis - Diggin' Up Bones (Official Audio) [6JVIUaqC0gM].webm,no strong match
"Randy Travis - Forever and Ever, Amen (Official Audio) [KtKXc_v2iLE].webm",randy travis,"forever and ever, amen",unsorted,0.0,"musicup/unsorted/Randy Travis - Forever and Ever, Amen (Official Audio) [KtKXc_v2iLE].webm",no strong match
Randy Travis - I Told You So (Official Audio) [woBfHRub5jo].webm,randy travis,i told you so,unsorted,0.0,musicup/unsorted/Randy Travis - I Told You So (Official Audio) [woBfHRub5jo].webm,no strong match
Randy Travis - If I Didn't Have You (Official Music Video) [_LivzZkV2F8].webm,randy travis,if i didn't have you,unsorted,0.0,musicup/unsorted/Randy Travis - If I Didn't Have You (Official Music Video) [_LivzZkV2F8].webm,no strong match
Randy Travis - On The Other Hand (Official Audio) [pJgV-TGkFeU].webm,randy travis,on the other hand,unsorted,0.0,musicup/unsorted/Randy Travis - On The Other Hand (Official Audio) [pJgV-TGkFeU].webm,no strong match
Reba McEntire - Fancy (Official Audio) [FUN0U80hELo].webm,reba mcentire,fancy,unsorted,0.0,musicup/unsorted/Reba McEntire - Fancy (Official Audio) [FUN0U80hELo].webm,no strong match
Red Hot Chili Peppers - Scar Tissue (Highest Quality) [h9YyazDg9YM].webm,red hot chili peppers,scar tissue (highest quality),rock,10,musicup/rock/Red Hot Chili Peppers - Scar Tissue (Highest Quality) [h9YyazDg9YM].webm,artist:red hot chili peppers->rock
Red Hot Chili Peppers - Under The Bridge - Remastered [N7ZyzCNeFKY].webm,red hot chili peppers,under the bridge - remastered,rock,15,musicup/rock/Red Hot Chili Peppers - Under The Bridge - Remastered [N7ZyzCNeFKY].webm,artist:red hot chili peppers->rock | kw:remastered+1->rock | kw:under the bridge+4->rock
Red Ragtop [Vk5Qj68YKCs].webm,Unknown,red ragtop,unsorted,0.0,musicup/unsorted/Red Ragtop [Vk5Qj68YKCs].webm,no strong match
Ricochet - Daddy's Money [TVIBN_OSRRQ].webm,ricochet,daddy's money,unsorted,0.0,musicup/unsorted/Ricochet - Daddy's Money [TVIBN_OSRRQ].webm,no strong match
Riptide- Vance Joy [Y6TFSTHUxi0].webm,Unknown,riptide- vance joy,unsorted,0.0,musicup/unsorted/Riptide- Vance Joy [Y6TFSTHUxi0].webm,no strong match
Rock My World (Little Country Girl) [os6kSyTymDQ].webm,Unknown,rock my world (little country girl),country,6,musicup/country/Rock My World (Little Country Girl) [os6kSyTymDQ].webm,kw:country+6->country
Rockin' With The Rhythm Of The Rain [NBn7HUZtpLA].webm,Unknown,rockin' with the rhythm of the rain,unsorted,0.0,musicup/unsorted/Rockin' With The Rhythm Of The Rain [NBn7HUZtpLA].webm,no strong match
Rodney Atkins - Farmer's Daughter [k4Ys8sSXXgo].m4a,rodney atkins,farmer's daughter,unsorted,0.0,musicup/unsorted/Rodney Atkins - Farmer's Daughter [k4Ys8sSXXgo].m4a,no strong match
Roll With It [lQQLaseCaxQ].webm,Unknown,roll with it,unsorted,0.0,musicup/unsorted/Roll With It [lQQLaseCaxQ].webm,no strong match
Ronnie Milsap - (There's) No Gettin' Over Me (Official Audio) [8bDcSjW7H-o].webm,ronnie milsap,(there's) no gettin' over me,unsorted,0.0,musicup/unsorted/Ronnie Milsap - (There's) No Gettin' Over Me (Official Audio) [8bDcSjW7H-o].webm,no strong match
Ronnie Milsap - A Woman In Love (Official Audio) [-ni0-vNiAsM].webm,ronnie milsap,a woman in love,unsorted,0.0,musicup/unsorted/Ronnie Milsap - A Woman In Love (Official Audio) [-ni0-vNiAsM].webm,no strong match
Ronnie Milsap - Any Day Now (Official Audio) [WfzOTtwGi5M].webm,ronnie milsap,any day now,unsorted,0.0,musicup/unsorted/Ronnie Milsap - Any Day Now (Official Audio) [WfzOTtwGi5M].webm,no strong match
Ronnie Milsap - He Got You (Official Audio) [iGAKs_7UsgM].webm,ronnie milsap,he got you,unsorted,0.0,musicup/unsorted/Ronnie Milsap - He Got You (Official Audio) [iGAKs_7UsgM].webm,no strong match
Sam Smith - I'm Not The Only One (Lyric Video) [mzQ8eepcJGQ].webm,sam smith,i'm not the only one,pop,10,musicup/pop/Sam Smith - I'm Not The Only One (Lyric Video) [mzQ8eepcJGQ].webm,artist:sam smith->pop
Sara Evans - A Real Fine Place To Start (Official Video) [IrdCBkXB91I].webm,sara evans,a real fine place to start,unsorted,0.0,musicup/unsorted/Sara Evans - A Real Fine Place To Start (Official Video) [IrdCBkXB91I].webm,no strong match
Sara Evans - Suds in the Bucket (Official Audio) [cJl0r-4ZR50].webm,sara evans,suds in the bucket,unsorted,0.0,musicup/unsorted/Sara Evans - Suds in the Bucket (Official Audio) [cJl0r-4ZR50].webm,no strong match
Shania Twain - Any Man of Mine [xKhmEg43g4U].webm,shania twain,any man of mine,unsorted,0.0,musicup/unsorted/Shania Twain - Any Man of Mine [xKhmEg43g4U].webm,no strong match
"Shania Twain - Honey, I'm Home (Audio) [v03geslz0sY].webm",shania twain,"honey, i'm home",unsorted,0.0,"musicup/unsorted/Shania Twain - Honey, I'm Home (Audio) [v03geslz0sY].webm",no strong match
Shania Twain - Whose Bed Have Your Boots Been Under [KVwmA6NDrSQ].webm,shania twain,whose bed have your boots been under,unsorted,2,musicup/unsorted/Shania Twain - Whose Bed Have Your Boots Been Under [KVwmA6NDrSQ].webm,kw:boots+2->country
She Don't Know She's Beautiful [ZHvLtsANqvU].webm,Unknown,she don't know she's beautiful,unsorted,0.0,musicup/unsorted/She Don't Know She's Beautiful [ZHvLtsANqvU].webm,no strong match
She'll Leave You With A Smile (2001 Version) [ZnwVh8ibPYU].webm,Unknown,she'll leave you with a smile (2001 version),unsorted,0.0,musicup/unsorted/She'll Leave You With A Smile (2001 Version) [ZnwVh8ibPYU].webm,no strong match
She's In Love With The Boy [B5BpEkTbDCg].webm,Unknown,she's in love with the boy,unsorted,0.0,musicup/unsorted/She's In Love With The Boy [B5BpEkTbDCg].webm,no strong match
Should've Been a Cowboy - Toby Keith [U3TdI1ww29k].webm,should've been a cowboy,toby keith,unsorted,2,musicup/unsorted/Should've Been a Cowboy - Toby Keith [U3TdI1ww29k].webm,kw:cowboy+2->country
Slow Hand [B73k8VMnEDE].webm,Unknown,slow hand,hiphop,3,musicup/hiphop/Slow Hand [B73k8VMnEDE].webm,kw:low+3->hiphop
Small Town Saturday Night [ekW_gV75wN4].webm,Unknown,small town saturday night,unsorted,2,musicup/unsorted/Small Town Saturday Night [ekW_gV75wN4].webm,kw:small town+2->country
Small Town Southern Man [bsI6Sa4lzLo].webm,Unknown,small town southern man,unsorted,2,musicup/unsorted/Small Town Southern Man [bsI6Sa4lzLo].webm,kw:small town+2->country
Smoky Mountain Rain [XqM81OrUc1o].webm,Unknown,smoky mountain rain,unsorted,0.0,musicup/unsorted/Smoky Mountain Rain [XqM81OrUc1o].webm,no strong match
Snow Patrol - Chasing Cars (Album Version) [n8NIHnkZkeE].webm,snow patrol,chasing cars (album version),alternative,10,musicup/alternative/Snow Patrol - Chasing Cars (Album Version) [n8NIHnkZkeE].webm,artist:snow patrol->alternative
